cell,component,elapsed_us,operations,bytes,checksum,status
noopt-rxbvm,fixture_build,71999,11684,35893248,11684,ok
noopt-rxbvm,sqlite_transfer,34013,11684,35893248,11684,ok
noopt-rxbvm,validation,5225,11684,35893248,11684,ok
noopt-rxbvm,conversion,30813,8974080,35896320,8974080,ok
noopt-rxbvm,arithmetic_selection,54277,8973312,71786496,3.19999999523163,ok
noopt-rxbvm,merge_selection,2226,11684,0,1031,ok
noopt-rxbvm,estimated_working_memory,0,128,1193280,1193280,ok
noopt-rxbvm,total,129496,11684,35893248,1031,ok
noopt-rxbvm,process_peak_memory,0,1,86196224,86196224,ok
noopt-rxvme,fixture_build,71914,11684,35893248,11684,ok
noopt-rxvme,sqlite_transfer,34076,11684,35893248,11684,ok
noopt-rxvme,validation,5186,11684,35893248,11684,ok
noopt-rxvme,conversion,31261,8974080,35896320,8974080,ok
noopt-rxvme,arithmetic_selection,54188,8973312,71786496,3.19999999523163,ok
noopt-rxvme,merge_selection,2190,11684,0,1031,ok
noopt-rxvme,estimated_working_memory,0,128,1193280,1193280,ok
noopt-rxvme,total,129974,11684,35893248,1031,ok
noopt-rxvme,process_peak_memory,0,1,99434496,99434496,ok
opt-rxbvm,fixture_build,67497,11684,35893248,11684,ok
opt-rxbvm,sqlite_transfer,32106,11684,35893248,11684,ok
opt-rxbvm,validation,2647,11684,35893248,11684,ok
opt-rxbvm,conversion,29444,8974080,35896320,8974080,ok
opt-rxbvm,arithmetic_selection,54161,8973312,71786496,3.19999999523163,ok
opt-rxbvm,merge_selection,1560,11684,0,1031,ok
opt-rxbvm,estimated_working_memory,0,128,1193280,1193280,ok
opt-rxbvm,total,122740,11684,35893248,1031,ok
opt-rxbvm,process_peak_memory,0,1,86261760,86261760,ok
opt-rxvme,fixture_build,67124,11684,35893248,11684,ok
opt-rxvme,sqlite_transfer,32418,11684,35893248,11684,ok
opt-rxvme,validation,2644,11684,35893248,11684,ok
opt-rxvme,conversion,29579,8974080,35896320,8974080,ok
opt-rxvme,arithmetic_selection,54472,8973312,71786496,3.19999999523163,ok
opt-rxvme,merge_selection,1549,11684,0,1031,ok
opt-rxvme,estimated_working_memory,0,128,1193280,1193280,ok
opt-rxvme,total,123596,11684,35893248,1031,ok
opt-rxvme,process_peak_memory,0,1,99418112,99418112,ok
